"","all.common","cd4_common.avg","cd22_common.avg","moto_common.avg","glia_common.avg"
"1","ENSMUSG00000037742",0.552799135274739,3.27511032064352,2.64289027153675,4.36354567869487
"2","ENSMUSG00000064351",0.552799135274739,7.61405246597406,9.7695614168555,28.1199361974082
"3","ENSMUSG00000064370",0.552799135274739,2.50690995972733,1.65652234781983,10.8400893967682
"4","ENSMUSG00000034994",0.552799135274739,2.26907967996289,2.16579453351869,14.3973405050937
"5","ENSMUSG00000060802",0.552799135274739,22.1691791532011,81.4550339872878,48.0916327435715
"6","ENSMUSG00000064341",0.552799135274739,20.5653321129484,1783.87889959083,5.04778640634999
"7","ENSMUSG00000064367",0.552799135274739,5.22852985702844,115.478719613167,4.76043376931909
"8","ENSMUSG00000060126",0.552799135274739,5.23624426868786,30.0096790438147,10.8335255079919
"9","ENSMUSG00000064345",0.552799135274739,122.743824564633,2.221543875335,46.0031615750933
"10","ENSMUSG00000064363",0.552799135274739,2.42224888378456,90.0887078307529,85.2098151661831
"11","ENSMUSG00000020719",0.552799135274739,8.84960422338755,3.80833610682739,25.3574957333131
"12","ENSMUSG00000029580",0.552799135274739,14.7718255451539,19.6173696254696,82.2145307162432
"13","ENSMUSG00000025290",0.552799135274739,2.50831658299502,3.19285558034762,23.3963232181594
"14","ENSMUSG00000032399",0.552799135274739,13.0256841359878,15.5024121386526,12.7271937907864
"15","ENSMUSG00000039218",0.552799135274739,60.0863234375633,1.33161841654638,418.847096394842
"16","ENSMUSG00000092341",0.552799135274739,5.25260042312842,12.5088941533206,22.8145943709183
"17","ENSMUSG00000031207",0.552799135274739,24.6571987612866,2.38233923562492,4.65253219771715
"18","ENSMUSG00000032035",0.552799135274739,5.97054926895487,19.1970117953469,3.9246667105238
"19","ENSMUSG00000061232",0.552799135274739,13.2256939349016,82.0558926856339,11.4692040081721
"20","ENSMUSG00000022443",0.552799135274739,39.4849640560101,155.574434207793,234.954121798574
"21","ENSMUSG00000022283",0.552799135274739,4.01986592241629,94.4014061997076,3.58438987805581
"22","ENSMUSG00000067274",0.552799135274739,29.5930886682838,6.73741431868368,9.31051358814339
"23","ENSMUSG00000035697",0.552799135274739,12.7749254137295,90.8072572435482,15.9005779286792
"24","ENSMUSG00000066406",0.552799135274739,8.27064907672979,195.37991971967,53.4521894006849
"25","ENSMUSG00000025647",0.552799135274739,13.7174953083328,17.9019584813681,10.787893654919
"26","ENSMUSG00000027763",0.552799135274739,16.1362164884306,285.019526268251,34.6225147566443
"27","ENSMUSG00000045092",0.552799135274739,44.8353731444143,1.19224506200562,2.1398837992531
"28","ENSMUSG00000063457",0.552799135274739,50.5808157665661,128.940088744708,30.5388488210497
"29","ENSMUSG00000032518",0.552799135274739,16.0079254298789,192.215145473282,23.1317299788176
"30","ENSMUSG00000012848",0.552799135274739,248.117434076425,8.2063420794986,601.751997632276
"31","ENSMUSG00000023944",0.552799135274739,6.52399006131642,1.96421917200265,4.62318839033613
"32","ENSMUSG00000028530",0.552799135274739,2.58466226876286,44.5793217121803,52.6932558829671
"33","ENSMUSG00000025357",0.552799135274739,474.321695365726,9.42314860171877,66.3044466719597
"34","ENSMUSG00000062328",0.552799135274739,3.69703601177673,911.381186347301,6.90969382141924
"35","ENSMUSG00000038900",0.552799135274739,2.52416398496217,97.0591460268967,4.06419626577973
"36","ENSMUSG00000073411",0.552799135274739,31.6758375785859,5.49157080324809,997.805523849974
"37","ENSMUSG00000020372",0.552799135274739,4.12168295069818,2.30194155547996,5.2406729010315
"38","ENSMUSG00000040940",0.552799135274739,6.0283650111239,2.97846176662773,6.09557413925332
"39","ENSMUSG00000058558",0.552799135274739,4.41051022185697,7.43983206858151,18.0272607975149
"40","ENSMUSG00000015656",0.552799135274739,13.2175728159615,17.7562193397825,7.79779591398598
"41","ENSMUSG00000031320",0.552799135274739,131.15354898417,3.12536323052063,200.14398014734
"42","ENSMUSG00000023927",0.552799135274739,4.3785363580586,43.2951097182473,13.5092261513849
"43","ENSMUSG00000030744",0.552799135274739,25.3496325379628,30.6640493174766,227.43362827769
"44","ENSMUSG00000022961",0.552799135274739,18.1624821545267,99.5064792115058,46.1096158572358
"45","ENSMUSG00000060036",0.552799135274739,19.5255901196428,2.40806301814674,3.51994438340037
"46","ENSMUSG00000025085",0.552799135274739,10.8281278265464,9.93044365525954,8.72457111572822
"47","ENSMUSG00000034349",0.552799135274739,4.87964149254491,10.504970424285,17.7557716779747
"48","ENSMUSG00000002028",0.552799135274739,2.86740377943142,3.45663294883895,98.7610884005291
"49","ENSMUSG00000025982",0.552799135274739,38.3642024721174,17.7195673591008,39.0772957463285
"50","ENSMUSG00000022587",0.552799135274739,29.7489664546741,136.978748408187,286.500560231275
"51","ENSMUSG00000020143",0.552799135274739,5.7689207724872,3.76002799624912,8.97904505631586
"52","ENSMUSG00000090733",0.552799135274739,133.392173130556,741.732901086548,346.579591958587
"53","ENSMUSG00000041453",0.552799135274739,7.0028642732178,76.0038627659857,14.5257976773517
"54","ENSMUSG00000045128",0.552799135274739,6.30028695032373,805.946287484713,37.4366186151194
"55","ENSMUSG00000003970",0.552799135274739,6.21832217716457,7.5565342169517,5.82118459996801
"56","ENSMUSG00000048154",0.552799135274739,4.17886690019792,184.165677396581,6.90313892190273
"57","ENSMUSG00000040225",0.552799135274739,5.55602566412307,139.678289709505,82.0336820745156
"58","ENSMUSG00000047867",0.552799135274739,4.61048602989287,35.7310473919435,12.2600881149097
"59","ENSMUSG00000027009",0.552799135274739,6.90270813605777,21.1647179342714,21.3565759151986
